ID GC age w
223 860 131 0 1.99
224 862 231 0 1.93
225 864 231 0 1.69
226 865 131 0 1.08
227 866 131 0 1.05
228 867 231 0 0.95
229 868 231 0 0.98
230 869 231 0 1.26
231 870 231 0 0.9
232 875 131 0 0.73
233 876 231 0 0.96
234 878 231 0 0.86
235 883 231 0 0.68
236 884 231 0 0.78
237 887 242 0 1.65
238 888 241 0 1.45
239 889 242 0 1.28
240 890 242 0 1.3
241 891 242 0 1.06
242 892 141 0 1.46
243 893 141 0 1.72
244 896 141 0 1.06
245 897 141 0 1.1
246 898 141 0 1.4
247 900 241 0 1.43
248 901 241 0 1.22
249 902 241 0 1.46
250 903 141 0 1.39
251 904 141 0 1.18
252 905 141 0 1.2
253 906 141 0 0.99
254 908 241 0 1.47
255 910 241 0 1.7
256 911 241 0 1.23
257 912 141 0 1.17
258 913 141 0 1.2
259 914 141 0 1.2
260 915 241 0 1.2
261 922 241 0 1.2
262 925 141 0 1.2
263 926 141 0 1.2
264 927 141 0 1.2
265 929 141 0 1.2
266 930 241 0 1.2
267 931 241 0 1.2
268 932 241 0 1.2
269 933 241 0 1.2
270 934 141 0 1.57
271 936 141 0 1.2
272 937 141 0 1.22
273 938 141 0 1.11
274 939 141 0 1.92
275 940 241 0 1.78
276 941 241 0 1.39
277 943 241 0 1.57
278 944 141 0 1.28
279 945 241 0 1.72
280 946 241 0 1.49
281 948 241 0 1.58
282 949 241 0 1.35
283 950 241 0 1.4
284 951 241 0 0.81
285 952 141 0 1.48
286 953 141 0 1.28
287 955 141 0 1.54
288 956 141 0 1.48
289 958 141 0 1.38
290 959 241 0 1.52
291 960 241 0 1.56
292 964 141 0 1.3
293 965 141 0 0.96
294 967 241 0 1.2
295 968 241 0 1.08
296 969 241 0 1.2
297 970 241 0 1.05
298 971 241 0 1.19
299 972 241 0 1.09
300 975 141 0 1.18
301 976 141 0 1.46
302 977 141 0 1.28
303 978 141 0 0.98
304 979 141 0 0.87
305 980 141 0 0.91
306 981 141 0 1.1
307 982 141 0 1.41
308 983 141 0 1.49
309 986 141 0 1.61
310 987 141 0 1.35
311 989 241 0 1.39
312 992 141 0 1.79
313 998 141 0 1.23
314 999 141 0 0.96
315 1000 241 0 1.26
316 1001 241 0 1.3
317 1003 241 0 1.17
318 1004 241 0 1.08
319 1006 241 0 1.32
320 1008 141 0 1.56
321 1010 141 0 1.88
322 1011 141 0 1.23
323 1012 241 0 1.46
324 1013 241 0 1.32
325 1014 241 0 1.42
326 1016 241 0 1.32
327 1017 241 0 1.63
328 1022 141 0 2.13
329 1023 241 0 1.99
330 1034 251 0 1.08
331 1112 151 0 1.31
332 1122 251 0 1.34
333 1125 251 0 0.9
334 1128 151 0 1.49
335 1135 152 0 1.2
336 1136 151 0 1.29
337 1141 252 0 1.59
338 1169 151 0 1.09
339 1170 151 0 1.41
340 1187 251 0 1.51
341 1194 151 0 0.94
342 1195 151 0 1.16
343 1214 252 0 1.41
344 1215 252 0 1.45
345 1226 152 0 1.22
346 401 111 21 6.86
347 403 111 21 5.75
348 404 211 21 6.92
349 406 211 21 4.94
350 407 212 21 4.91
351 409 112 21 4.66
352 411 112 21 4.57
353 412 112 21 4.41
354 413 211 21 4.44
355 414 211 21 4.3
356 415 211 21 3.96
357 416 212 21 4.36
358 418 211 21 4.13
359 421 111 21 5.23
360 423 111 21 5.22
361 424 212 21 6.51
362 426 211 21 5.2
363 428 211 21 4.96
364 429 111 21 6.58
365 432 211 21 6.67
366 433 111 21 5.83
367 434 211 21 4.05
368 435 211 21 4.47
369 440 111 21 5.08
370 441 211 21 6.28
371 442 211 21 5.23
372 446 211 21 6.8
373 448 111 21 4.66
374 449 112 21 6
375 450 111 21 3.76
376 452 211 21 4.73
377 453 212 21 4.14
378 456 212 21 4.57
379 457 212 21 3.07
380 459 111 21 6.23
381 460 111 21 6.87
382 461 212 21 6.51
383 462 211 21 5.26
384 463 111 21 5.72
385 466 111 21 5.03
386 469 111 21 5.52
387 472 211 21 4.36
388 473 211 21 4.94
389 474 111 21 4.16
390 477 211 21 3.58
391 478 211 21 4.84
392 479 211 21 5.76
393 481 111 21 6.96
394 482 111 21 5.96
395 486 211 21 4.1
396 488 211 21 6.39
397 489 212 21 3.15
398 490 212 21 5.85
399 494 112 21 3.39
400 497 211 21 5.82
401 498 211 21 4.41
402 499 111 21 5.1
403 500 111 21 5.12
404 502 111 21 4.91
405 503 111 21 5.2
406 504 211 21 3.56
407 505 211 21 4.6
408 506 211 21 4.49
409 507 111 21 2.87
410 508 111 21 5.07
411 512 111 21 3.49
412 514 211 21 5.62
413 516 111 21 4.31
414 517 111 21 4.09
415 519 111 21 3.85
416 521 111 21 4.9
417 530 111 21 5.2
418 531 111 21 5.18
419 532 111 21 3.49
420 534 111 21 3.87
421 536 111 21 3.68
422 540 211 21 2.91
423 541 211 21 4.87
424 545 121 21 5.75
425 546 121 21 4.57
426 547 121 21 6.17
427 550 221 21 7.88
428 554 221 21 5.67
429 555 221 21 3.4
430 558 122 21 4.24
431 560 222 21 3.69
432 563 222 21 4.81
433 564 221 21 4.95
434 565 222 21 3.65
435 567 121 21 4.37
436 569 121 21 3.86
437 573 221 21 4.82
438 574 221 21 5.32
439 578 121 21 5.86
440 579 121 21 5.37
441 581 122 21 4.43
442 582 121 21 5.79
443 583 221 21 5.91
444 584 222 21 6.06
445 585 222 21 6.04
446 586 222 21 5.89
447 587 222 21 5.98
448 588 222 21 5.33
449 589 121 21 5.8
450 590 121 21 4.32
451 591 122 21 4.27
452 599 122 21 2.93
453 601 122 21 3.94
454 604 122 21 3.93
455 605 122 21 4.22
456 626 122 21 4.6
457 629 122 21 4.9
458 630 222 21 5.28
459 631 221 21 5
460 634 221 21 4.14
461 635 221 21 4.11
462 637 121 21 4.08
463 638 121 21 5.75
464 639 121 21 4.28
465 640 221 21 5.29
466 641 221 21 5.14
467 643 121 21 3.89
